Neděle;18;0;Mládež
Pondělí;17;0;Kurz češtiny
Pondělí;19;0;Modlitby kolem Jistoty
Pondělí;20;0;Lectio divina (čtení Bible s modlitbami)
Středa;19;0;bádání nad Biblí
Pátek;17;30;kavárna Lenochod
Neděle;10;0;bohoslužby
